any,unique_hunters,replicate
1,365,1
2,368,1
3,373,1
4,370,1
5,383,1
6,393,1
1,365,2
2,365,2
3,368,2
4,377,2
5,396,2
6,412,2
1,365,3
2,377,3
3,385,3
4,380,3
5,399,3
6,419,3
1,365,4
2,382,4
3,394,4
4,409,4
5,427,4
6,444,4
1,365,5
2,384,5
3,393,5
4,397,5
5,409,5
6,429,5
1,365,6
2,383,6
3,387,6
4,403,6
5,402,6
6,402,6
1,365,7
2,375,7
3,374,7
4,374,7
5,385,7
6,407,7
1,365,8
2,365,8
3,364,8
4,378,8
5,378,8
6,398,8
1,365,9
2,382,9
3,404,9
4,419,9
5,418,9
6,427,9
1,365,10
2,373,10
3,383,10
4,406,10
5,425,10
6,439,10
1,365,11
2,373,11
3,394,11
4,400,11
5,418,11
6,441,11
1,365,12
2,370,12
3,380,12
4,387,12
5,410,12
6,411,12
1,365,13
2,378,13
3,384,13
4,401,13
5,406,13
6,416,13
1,365,14
2,379,14
3,380,14
4,400,14
5,414,14
6,436,14
1,365,15
2,382,15
3,380,15
4,381,15
5,395,15
6,394,15
1,365,16
2,372,16
3,380,16
4,394,16
5,406,16
6,409,16
1,365,17
2,367,17
3,374,17
4,384,17
5,392,17
6,405,17
1,365,18
2,374,18
3,376,18
4,384,18
5,400,18
6,420,18
1,365,19
2,371,19
3,387,19
4,400,19
5,407,19
6,415,19
1,365,20
2,375,20
3,394,20
4,404,20
5,405,20
6,417,20
1,365,21
2,387,21
3,390,21
4,406,21
5,415,21
6,422,21
1,365,22
2,367,22
3,370,22
4,382,22
5,391,22
6,393,22
1,365,23
2,378,23
3,396,23
4,408,23
5,421,23
6,432,23
1,365,24
2,389,24
3,411,24
4,428,24
5,424,24
6,430,24
1,365,25
2,368,25
3,391,25
4,400,25
5,413,25
6,423,25
1,365,26
2,376,26
3,395,26
4,390,26
5,404,26
6,408,26
1,365,27
2,371,27
3,383,27
4,391,27
5,407,27
6,413,27
1,365,28
2,380,28
3,392,28
4,409,28
5,416,28
6,424,28
1,365,29
2,364,29
3,380,29
4,389,29
5,402,29
6,406,29
1,365,30
2,376,30
3,395,30
4,392,30
5,395,30
6,409,30
1,365,31
2,372,31
3,375,31
4,382,31
5,383,31
6,390,31
1,365,32
2,363,32
3,369,32
4,378,32
5,382,32
6,384,32
1,365,33
2,378,33
3,389,33
4,407,33
5,427,33
6,434,33
1,365,34
2,384,34
3,389,34
4,391,34
5,408,34
6,420,34
1,365,35
2,385,35
3,399,35
4,402,35
5,400,35
6,400,35
1,365,36
2,383,36
3,397,36
4,414,36
5,435,36
6,435,36
1,365,37
2,383,37
3,404,37
4,406,37
5,423,37
6,435,37
1,365,38
2,381,38
3,399,38
4,404,38
5,409,38
6,424,38
1,365,39
2,370,39
3,377,39
4,384,39
5,402,39
6,422,39
1,365,40
2,389,40
3,404,40
4,419,40
5,442,40
6,448,40
1,365,41
2,361,41
3,365,41
4,368,41
5,386,41
6,396,41
1,365,42
2,365,42
3,375,42
4,397,42
5,402,42
6,414,42
1,365,43
2,370,43
3,379,43
4,379,43
5,381,43
6,394,43
1,365,44
2,372,44
3,384,44
4,400,44
5,400,44
6,405,44
1,365,45
2,366,45
3,372,45
4,393,45
5,406,45
6,426,45
1,365,46
2,367,46
3,381,46
4,380,46
5,383,46
6,391,46
1,365,47
2,387,47
3,407,47
4,432,47
5,446,47
6,456,47
1,365,48
2,388,48
3,393,48
4,413,48
5,436,48
6,451,48
1,365,49
2,372,49
3,388,49
4,395,49
5,411,49
6,416,49
1,365,50
2,375,50
3,378,50
4,401,50
5,414,50
6,419,50
